# source=Ensembl BioMart hsapiens_gene_ensembl (with_mmusculus_homolog)
# orthology_type=ortholog_one2one; unique human/mouse symbols
# download_date=2026-08-09
# ensembl_host=www.ensembl.org (current at download)
human_symbol	human_ensembl	mouse_symbol	mouse_ensembl	orthology_type
CCDC70	ENSG00000123171	Ccdc70	ENSMUSG00000017049	ortholog_one2one
KCTD12	ENSG00000178695	Kctd12	ENSMUSG00000098557	ortholog_one2one
SLC10A2	ENSG00000125255	Slc10a2	ENSMUSG00000023073	ortholog_one2one
ZIC5	ENSG00000139800	Zic5	ENSMUSG00000041703	ortholog_one2one
GSX1	ENSG00000169840	Gsx1	ENSMUSG00000053129	ortholog_one2one
RNU6-83P	ENSG00000207298	Gm54753	ENSMUSG00002076599	ortholog_one2one
ATP4B	ENSG00000186009	Atp4b	ENSMUSG00000031449	ortholog_one2one
RNU1-24P	ENSG00000201155	Gm56205	ENSMUSG00002074995	ortholog_one2one
KCTD4	ENSG00000180332	Kctd4	ENSMUSG00000046523	ortholog_one2one
AMER2	ENSG00000165566	Amer2	ENSMUSG00000021986	ortholog_one2one
ACOD1	ENSG00000102794	Acod1	ENSMUSG00000022126	ortholog_one2one
GPC6	ENSG00000183098	Gpc6	ENSMUSG00000058571	ortholog_one2one
TMPRSS15	ENSG00000154646	Tmprss15	ENSMUSG00000022857	ortholog_one2one
SOX21	ENSG00000125285	Sox21	ENSMUSG00000061517	ortholog_one2one
CLDN17	ENSG00000156282	Cldn17	ENSMUSG00000055811	ortholog_one2one
KRTAP24-1	ENSG00000188694	Krtap24-1	ENSMUSG00000050239	ortholog_one2one
CLDN8	ENSG00000156284	Cldn8	ENSMUSG00000050520	ortholog_one2one
RNF113B	ENSG00000139797	Rnf113a1	ENSMUSG00000036537	ortholog_one2one
C13orf46	ENSG00000283199	1700029H14Rik	ENSMUSG00000031452	ortholog_one2one
RN7SKP236	ENSG00000274662	Gm54838	ENSMUSG00002076261	ortholog_one2one
SNORA80A	ENSG00000200792	Gm54688	ENSMUSG00002075119	ortholog_one2one
C13orf42	ENSG00000226792	Gm4131	ENSMUSG00000100486	ortholog_one2one
SNORD102	ENSG00000207500	Gm25091	ENSMUSG00000077185	ortholog_one2one
SNORA27	ENSG00000207051	Gm23202	ENSMUSG00000077564	ortholog_one2one
RNU6-70P	ENSG00000252247	Gm26485	ENSMUSG00000088644	ortholog_one2one
TFF2	ENSG00000160181	Tff2	ENSMUSG00000024028	ortholog_one2one
OLIG1	ENSG00000184221	Olig1	ENSMUSG00000046160	ortholog_one2one
KRTAP8-1	ENSG00000183640	Krtap8-1	ENSMUSG00000059632	ortholog_one2one
KRTAP7-1	ENSG00000274749	Krtap7-1	ENSMUSG00000056706	ortholog_one2one
KRTAP11-1	ENSG00000182591	Krtap11-1	ENSMUSG00000091212	ortholog_one2one
KRTAP26-1	ENSG00000197683	Krtap26-1	ENSMUSG00000071471	ortholog_one2one
KRTAP27-1	ENSG00000206107	Krtap27-1	ENSMUSG00000090515	ortholog_one2one
KRTAP15-1	ENSG00000186970	Krtap15-1	ENSMUSG00000022931	ortholog_one2one
MIR99A	ENSG00000207638	Mir99a	ENSMUSG00000065530	ortholog_one2one
MIRLET7C	ENSG00000199030	Mirlet7c-1	ENSMUSG00000065557	ortholog_one2one
RNU6-926P	ENSG00000206802	Gm23312	ENSMUSG00000089399	ortholog_one2one
MC4R	ENSG00000166603	Mc4r	ENSMUSG00000047259	ortholog_one2one
RNU2-27P	ENSG00000251994	Gm56370	ENSMUSG00002076687	ortholog_one2one
RNU6-708P	ENSG00000206944	Gm55397	ENSMUSG00002076720	ortholog_one2one
RNU6-142P	ENSG00000206746	Gm23205	ENSMUSG00000089296	ortholog_one2one
RNU6-39P	ENSG00000207072	Gm23407	ENSMUSG00000064472	ortholog_one2one
RNU6-1131P	ENSG00000201825	Gm26008	ENSMUSG00000089422	ortholog_one2one
RN7SKP44	ENSG00000200472	Gm54392	ENSMUSG00002075732	ortholog_one2one
SNORD58A	ENSG00000206602	Gm23301	ENSMUSG00000064647	ortholog_one2one
ONECUT2	ENSG00000119547	Onecut2	ENSMUSG00000045991	ortholog_one2one
MIR122	ENSG00000284440	Mir122	ENSMUSG00000065402	ortholog_one2one
SNORA108	ENSG00000252284	Gm24453	ENSMUSG00000065280	ortholog_one2one
SERPINB11	ENSG00000206072	Serpinb11	ENSMUSG00000026327	ortholog_one2one
C18orf63	ENSG00000206043	Gm17266	ENSMUSG00000117781	ortholog_one2one
SERPINB12	ENSG00000166634	Serpinb12	ENSMUSG00000059956	ortholog_one2one
CETN1	ENSG00000177143	Cetn1	ENSMUSG00000050996	ortholog_one2one
LRRC30	ENSG00000206422	Lrrc30	ENSMUSG00000073375	ortholog_one2one
MC5R	ENSG00000176136	Mc5r	ENSMUSG00000007480	ortholog_one2one
MIR133A1	ENSG00000283927	Mir133a-1	ENSMUSG00000065399	ortholog_one2one
MIR1-2	ENSG00000284453	Mir1a-2	ENSMUSG00000106348	ortholog_one2one
SERPINB10	ENSG00000242550	Serpinb10	ENSMUSG00000092572	ortholog_one2one
CHMP1B	ENSG00000255112	Chmp1b	ENSMUSG00000109901	ortholog_one2one
RNU6-831P	ENSG00000207278	Gm24765	ENSMUSG00000065625	ortholog_one2one
RNU6-64P	ENSG00000252928	Gm55985	ENSMUSG00002075892	ortholog_one2one
METTL21EP	ENSG00000250878	Mettl21e	ENSMUSG00000046828	ortholog_one2one
C21orf140	ENSG00000222018	Fam243	ENSMUSG00000051728	ortholog_one2one
SMIM34	ENSG00000243627	Smim34	ENSMUSG00000116967	ortholog_one2one
MIR17	ENSG00000284536	Mir17	ENSMUSG00000065508	ortholog_one2one
MIR18A	ENSG00000283815	Mir18	ENSMUSG00000065403	ortholog_one2one
MIR19A	ENSG00000284204	Mir19a	ENSMUSG00000065416	ortholog_one2one
MIR20A	ENSG00000283762	Mir20a	ENSMUSG00000065442	ortholog_one2one
MIR19B1	ENSG00000284375	Mir19b-1	ENSMUSG00000076256	ortholog_one2one
RNU6-1050P	ENSG00000222320	Gm23434	ENSMUSG00000087804	ortholog_one2one
MIR155	ENSG00000283904	Mir155	ENSMUSG00000065397	ortholog_one2one
RNU6-61P	ENSG00000202398	Gm24116	ENSMUSG00000077163	ortholog_one2one
EDNRB	ENSG00000136160	Ednrb	ENSMUSG00000022122	ortholog_one2one
ZIC2	ENSG00000043355	Zic2	ENSMUSG00000061524	ortholog_one2one
NUFIP1	ENSG00000083635	Nufip1	ENSMUSG00000022009	ortholog_one2one
ADARB1	ENSG00000197381	Adarb1	ENSMUSG00000020262	ortholog_one2one
CDK8	ENSG00000132964	Cdk8	ENSMUSG00000029635	ortholog_one2one
RB1	ENSG00000139687	Rb1	ENSMUSG00000022105	ortholog_one2one
GPR18	ENSG00000125245	Gpr18	ENSMUSG00000050350	ortholog_one2one
TIAM1	ENSG00000156299	Tiam1	ENSMUSG00000002489	ortholog_one2one
RGCC	ENSG00000102760	Rgcc	ENSMUSG00000022018	ortholog_one2one
PROZ	ENSG00000126231	Proz	ENSMUSG00000031445	ortholog_one2one
SLC25A30	ENSG00000174032	Slc25a30	ENSMUSG00000022003	ortholog_one2one
RRP1B	ENSG00000160208	Rrp1b	ENSMUSG00000058392	ortholog_one2one
STOML3	ENSG00000133115	Stoml3	ENSMUSG00000027744	ortholog_one2one
ATP11A	ENSG00000068650	Atp11a	ENSMUSG00000031441	ortholog_one2one
IL10RB	ENSG00000243646	Il10rb	ENSMUSG00000022969	ortholog_one2one
NEK3	ENSG00000136098	Nek3	ENSMUSG00000031478	ortholog_one2one
IFNAR2	ENSG00000159110	Ifnar2	ENSMUSG00000022971	ortholog_one2one
SCAF4	ENSG00000156304	Scaf4	ENSMUSG00000022983	ortholog_one2one
ZDHHC20	ENSG00000180776	Zdhhc20	ENSMUSG00000021969	ortholog_one2one
SERTM1	ENSG00000180440	Sertm1	ENSMUSG00000056306	ortholog_one2one
ARL11	ENSG00000152213	Arl11	ENSMUSG00000043157	ortholog_one2one
UFM1	ENSG00000120686	Ufm1	ENSMUSG00000027746	ortholog_one2one
MICU2	ENSG00000165487	Micu2	ENSMUSG00000021973	ortholog_one2one
GTF2F2	ENSG00000188342	Gtf2f2	ENSMUSG00000067995	ortholog_one2one
RXFP2	ENSG00000133105	Rxfp2	ENSMUSG00000053368	ortholog_one2one
SOHLH2	ENSG00000120669	Sohlh2	ENSMUSG00000027794	ortholog_one2one
C2CD2	ENSG00000157617	C2cd2	ENSMUSG00000045975	ortholog_one2one
INTS6	ENSG00000102786	Ints6	ENSMUSG00000035161	ortholog_one2one
AIRE	ENSG00000160224	Aire	ENSMUSG00000000731	ortholog_one2one
CLDN14	ENSG00000159261	Cldn14	ENSMUSG00000047109	ortholog_one2one
IFNAR1	ENSG00000142166	Ifnar1	ENSMUSG00000022967	ortholog_one2one
FARP1	ENSG00000152767	Farp1	ENSMUSG00000025555	ortholog_one2one
C21orf58	ENSG00000160298	2610028H24Rik	ENSMUSG00000009114	ortholog_one2one
B3GALT5	ENSG00000183778	B3galt5	ENSMUSG00000074892	ortholog_one2one
ATP5PF	ENSG00000154723	Atp5pf	ENSMUSG00000022890	ortholog_one2one
PARP4	ENSG00000102699	Parp4	ENSMUSG00000054509	ortholog_one2one
TTC3	ENSG00000182670	Ttc3	ENSMUSG00000040785	ortholog_one2one
TMEM255B	ENSG00000184497	Tmem255b	ENSMUSG00000038457	ortholog_one2one
DNMT3L	ENSG00000142182	Dnmt3l	ENSMUSG00000000730	ortholog_one2one
WDFY2	ENSG00000139668	Wdfy2	ENSMUSG00000014547	ortholog_one2one
FTCD	ENSG00000160282	Ftcd	ENSMUSG00000001155	ortholog_one2one
CHAMP1	ENSG00000198824	Champ1	ENSMUSG00000047710	ortholog_one2one
NUDT15	ENSG00000136159	Nudt15	ENSMUSG00000033405	ortholog_one2one
MEDAG	ENSG00000102802	Medag	ENSMUSG00000029659	ortholog_one2one
SUCLA2	ENSG00000136143	Sucla2	ENSMUSG00000022110	ortholog_one2one
HS6ST3	ENSG00000185352	Hs6st3	ENSMUSG00000053465	ortholog_one2one
CRYL1	ENSG00000165475	Cryl1	ENSMUSG00000021947	ortholog_one2one
RNASEH2B	ENSG00000136104	Rnaseh2b	ENSMUSG00000021932	ortholog_one2one
PDE9A	ENSG00000160191	Pde9a	ENSMUSG00000041119	ortholog_one2one
RNU6-408P	ENSG00000251719	Gm23535	ENSMUSG00000088167	ortholog_one2one
TRIM13	ENSG00000204977	Trim13	ENSMUSG00000035235	ortholog_one2one
RCBTB2	ENSG00000136161	Rcbtb2	ENSMUSG00000022106	ortholog_one2one
DEFB129	ENSG00000125903	Defb23	ENSMUSG00000074681	ortholog_one2one
DEFB125	ENSG00000178591	Defb26	ENSMUSG00000074680	ortholog_one2one
INSM1	ENSG00000173404	Insm1	ENSMUSG00000068154	ortholog_one2one
DEFB128	ENSG00000185982	Defb20	ENSMUSG00000049560	ortholog_one2one
OLFM4	ENSG00000102837	Olfm4	ENSMUSG00000022026	ortholog_one2one
COMMD6	ENSG00000188243	Commd6	ENSMUSG00000075486	ortholog_one2one
SCRT2	ENSG00000215397	Scrt2	ENSMUSG00000060257	ortholog_one2one
DEFB115	ENSG00000215547	Defb28	ENSMUSG00000074679	ortholog_one2one
DSC1	ENSG00000134765	Dsc1	ENSMUSG00000044322	ortholog_one2one
MC3R	ENSG00000124089	Mc3r	ENSMUSG00000038537	ortholog_one2one
NBEA	ENSG00000172915	Nbea	ENSMUSG00000027799	ortholog_one2one
MIR187	ENSG00000207797	Mir187	ENSMUSG00000065532	ortholog_one2one
SCP2D1	ENSG00000132631	Scp2d1	ENSMUSG00000027431	ortholog_one2one
BHLHE23	ENSG00000125533	Bhlhe23	ENSMUSG00000045493	ortholog_one2one
RNU1-23P	ENSG00000200231	Gm24145	ENSMUSG00000064565	ortholog_one2one
ATP12A	ENSG00000075673	Atp12a	ENSMUSG00000022229	ortholog_one2one
RNU6-929P	ENSG00000207158	Gm23460	ENSMUSG00000065192	ortholog_one2one
MIR1-1	ENSG00000199017	Mir1a-1	ENSMUSG00000070144	ortholog_one2one
MIR133A2	ENSG00000284508	Mir133a-2	ENSMUSG00000065460	ortholog_one2one
CXXC1	ENSG00000154832	Cxxc1	ENSMUSG00000024560	ortholog_one2one
SERPINE3	ENSG00000253309	Serpine3	ENSMUSG00000091155	ortholog_one2one
ITGBL1	ENSG00000198542	Itgbl1	ENSMUSG00000032925	ortholog_one2one
GTSF1L	ENSG00000124196	Gtsf1l	ENSMUSG00000070708	ortholog_one2one
OTOR	ENSG00000125879	Otor	ENSMUSG00000027416	ortholog_one2one
R3HDML	ENSG00000101074	R3hdml	ENSMUSG00000078949	ortholog_one2one
MIR124-3	ENSG00000207598	Mir124a-3	ENSMUSG00000065454	ortholog_one2one
XKR7	ENSG00000260903	Xkr7	ENSMUSG00000042631	ortholog_one2one
FAM83C	ENSG00000125998	Fam83c	ENSMUSG00000074647	ortholog_one2one
AVP	ENSG00000101200	Avp	ENSMUSG00000037727	ortholog_one2one
FOXS1	ENSG00000179772	Foxs1	ENSMUSG00000074676	ortholog_one2one
SNORD17	ENSG00000212232	Snord17	ENSMUSG00000077714	ortholog_one2one
C20orf144	ENSG00000149609	1700003F12Rik	ENSMUSG00000038523	ortholog_one2one
PRND	ENSG00000171864	Prnd	ENSMUSG00000027338	ortholog_one2one
SCEL	ENSG00000136155	Scel	ENSMUSG00000022123	ortholog_one2one
MAFB	ENSG00000204103	Mafb	ENSMUSG00000074622	ortholog_one2one
SPINT3	ENSG00000101446	Spint3	ENSMUSG00000074596	ortholog_one2one
MIR103A2	ENSG00000199024	Mir103-2	ENSMUSG00000065563	ortholog_one2one
ZCCHC3	ENSG00000247315	Zcchc3	ENSMUSG00000074682	ortholog_one2one
SNORD12C	ENSG00000209042	Gm25878	ENSMUSG00000077515	ortholog_one2one
SNORD12	ENSG00000212304	Snord12	ENSMUSG00000077698	ortholog_one2one
MOCS3	ENSG00000124217	Mocs3	ENSMUSG00000074576	ortholog_one2one
SOX12	ENSG00000177732	Sox12	ENSMUSG00000051817	ortholog_one2one
WFDC13	ENSG00000168634	Wfdc13	ENSMUSG00000067704	ortholog_one2one
SPINT4	ENSG00000149651	Spint4	ENSMUSG00000017310	ortholog_one2one
ZNF831	ENSG00000124203	Zfp831	ENSMUSG00000050600	ortholog_one2one
ACTL10	ENSG00000288649	Actl10	ENSMUSG00000078129	ortholog_one2one
CSTL1	ENSG00000125823	Cstl1	ENSMUSG00000055177	ortholog_one2one
OCSTAMP	ENSG00000149635	Ocstamp	ENSMUSG00000027670	ortholog_one2one
GCNT7	ENSG00000124091	Gcnt7	ENSMUSG00000074569	ortholog_one2one
SNORA71E	ENSG00000274309	Gm25187	ENSMUSG00000065840	ortholog_one2one
SNORA60	ENSG00000199266	Gm25129	ENSMUSG00000064585	ortholog_one2one
TAF4	ENSG00000130699	Taf4	ENSMUSG00000039117	ortholog_one2one
C20orf202	ENSG00000215595	Tmem74bos	ENSMUSG00000087035	ortholog_one2one
ANKRD60	ENSG00000124227	Ankrd60	ENSMUSG00000027517	ortholog_one2one
BPIFB4	ENSG00000186191	Bpifb4	ENSMUSG00000074665	ortholog_one2one
BPIFA2	ENSG00000131050	Bpifa2	ENSMUSG00000042459	ortholog_one2one
BPIFB3	ENSG00000186190	Bpifb3	ENSMUSG00000068008	ortholog_one2one
CACNA1I	ENSG00000100346	Cacna1i	ENSMUSG00000022416	ortholog_one2one
SETBP1	ENSG00000152217	Setbp1	ENSMUSG00000024548	ortholog_one2one
WFDC12	ENSG00000168703	Wfdc12	ENSMUSG00000042845	ortholog_one2one
DEFB116	ENSG00000215545	Defb29	ENSMUSG00000044249	ortholog_one2one
FAM210A	ENSG00000177150	Fam210a	ENSMUSG00000038121	ortholog_one2one
DEFB118	ENSG00000131068	Defb21	ENSMUSG00000056544	ortholog_one2one
SSTR4	ENSG00000132671	Sstr4	ENSMUSG00000037014	ortholog_one2one
THBD	ENSG00000178726	Thbd	ENSMUSG00000074743	ortholog_one2one
ABHD16B	ENSG00000183260	Abhd16b	ENSMUSG00000055882	ortholog_one2one
LMAN1	ENSG00000074695	Lman1	ENSMUSG00000041891	ortholog_one2one
ENTHD1	ENSG00000176177	Enthd1	ENSMUSG00000050439	ortholog_one2one
PKDREJ	ENSG00000130943	Pkdrej	ENSMUSG00000052496	ortholog_one2one
RNU6-1066P	ENSG00000200443	Gm22359	ENSMUSG00000064818	ortholog_one2one
SNORD83A	ENSG00000209482	Gm55357	ENSMUSG00002075255	ortholog_one2one
SNORD83B	ENSG00000209480	Snord83b	ENSMUSG00000077734	ortholog_one2one
BEND2	ENSG00000177324	Bend2	ENSMUSG00000108981	ortholog_one2one
KLHL34	ENSG00000185915	Klhl34	ENSMUSG00000047485	ortholog_one2one
MIB1	ENSG00000101752	Mib1	ENSMUSG00000024294	ortholog_one2one
DNAJC28	ENSG00000177692	Dnajc28	ENSMUSG00000039763	ortholog_one2one
S100G	ENSG00000169906	S100g	ENSMUSG00000040808	ortholog_one2one
H2AP	ENSG00000187516	H2ap	ENSMUSG00000040456	ortholog_one2one
PIGP	ENSG00000185808	Pigp	ENSMUSG00000022940	ortholog_one2one
PPP1R3D	ENSG00000132825	Ppp1r3d	ENSMUSG00000049999	ortholog_one2one
ITIH6	ENSG00000102313	Itih6	ENSMUSG00000087149	ortholog_one2one
MTCL1	ENSG00000168502	Mtcl1	ENSMUSG00000052105	ortholog_one2one
CENPB	ENSG00000125817	Cenpb	ENSMUSG00000068267	ortholog_one2one
AKAP4	ENSG00000147081	Akap4	ENSMUSG00000050089	ortholog_one2one
FOXR2	ENSG00000189299	Foxr2	ENSMUSG00000071665	ortholog_one2one
MAGEH1	ENSG00000187601	Mageh1	ENSMUSG00000047238	ortholog_one2one
ZNF516	ENSG00000101493	Zfp516	ENSMUSG00000058881	ortholog_one2one
MIR185	ENSG00000208023	Mir185	ENSMUSG00000065464	ortholog_one2one
MIR3618	ENSG00000284140	Mir3618	ENSMUSG00000093246	ortholog_one2one
MIR1306	ENSG00000284464	Mir1306	ENSMUSG00000080452	ortholog_one2one
GRP	ENSG00000134443	Grp	ENSMUSG00000024517	ortholog_one2one
MIR33A	ENSG00000207932	Mir33	ENSMUSG00000065465	ortholog_one2one
CRYAA	ENSG00000160202	Cryaa	ENSMUSG00000024041	ortholog_one2one
STARD6	ENSG00000174448	Stard6	ENSMUSG00000079608	ortholog_one2one
MIR301B	ENSG00000212102	Mir301b	ENSMUSG00000076288	ortholog_one2one
EFCAB8	ENSG00000215529	Efcab8	ENSMUSG00000044083	ortholog_one2one
TRPM2	ENSG00000142185	Trpm2	ENSMUSG00000009292	ortholog_one2one
ZNF521	ENSG00000198795	Zfp521	ENSMUSG00000024420	ortholog_one2one
MAGEE1	ENSG00000198934	Magee1	ENSMUSG00000031227	ortholog_one2one
SNORD125	ENSG00000239127	Gm24958	ENSMUSG00000088634	ortholog_one2one
CEBPB	ENSG00000172216	Cebpb	ENSMUSG00000056501	ortholog_one2one
NDC80	ENSG00000080986	Ndc80	ENSMUSG00000024056	ortholog_one2one
SEC14L2	ENSG00000100003	Sec14l2	ENSMUSG00000003585	ortholog_one2one
MAGEE2	ENSG00000186675	Magee2	ENSMUSG00000031224	ortholog_one2one
POU3F4	ENSG00000196767	Pou3f4	ENSMUSG00000056854	ortholog_one2one
SPIN4	ENSG00000186767	Spin4	ENSMUSG00000071722	ortholog_one2one
OTUD6A	ENSG00000189401	Otud6a	ENSMUSG00000051582	ortholog_one2one
RNU6-564P	ENSG00000222915	Gm55126	ENSMUSG00002075295	ortholog_one2one
TSSK2	ENSG00000206203	Tssk2	ENSMUSG00000045521	ortholog_one2one
GSC2	ENSG00000063515	Gsc2	ENSMUSG00000022738	ortholog_one2one
DOK6	ENSG00000206052	Dok6	ENSMUSG00000073514	ortholog_one2one
AMER1	ENSG00000184675	Amer1	ENSMUSG00000050332	ortholog_one2one
RSPH1	ENSG00000160188	Rsph1	ENSMUSG00000024033	ortholog_one2one
SPATC1L	ENSG00000160284	Spatc1l	ENSMUSG00000009115	ortholog_one2one
CELF4	ENSG00000101489	Celf4	ENSMUSG00000024268	ortholog_one2one
H1-0	ENSG00000189060	H1f0	ENSMUSG00000096210	ortholog_one2one
GPR50	ENSG00000102195	Gpr50	ENSMUSG00000056380	ortholog_one2one
PASD1	ENSG00000166049	Pasd1	ENSMUSG00000073130	ortholog_one2one
WDR4	ENSG00000160193	Wdr4	ENSMUSG00000024037	ortholog_one2one
NAP1L3	ENSG00000186310	Nap1l3	ENSMUSG00000055733	ortholog_one2one
MIRLET7A3	ENSG00000283990	Mirlet7c-2	ENSMUSG00000065608	ortholog_one2one
RN7SKP80	ENSG00000202058	Gm55801	ENSMUSG00002076149	ortholog_one2one
TMEM121B	ENSG00000183307	Tmem121b	ENSMUSG00000094626	ortholog_one2one
RN7SKP183	ENSG00000252978	Gm54481	ENSMUSG00002075558	ortholog_one2one
RNU6-133P	ENSG00000206716	Gm23625	ENSMUSG00000064391	ortholog_one2one
RNU6-49P	ENSG00000206983	Gm23966	ENSMUSG00000119442	ortholog_one2one
RNU6-1087P	ENSG00000252411	Gm25049	ENSMUSG00000089222	ortholog_one2one
MIR532	ENSG00000207758	Mir532	ENSMUSG00000070139	ortholog_one2one
MIR188	ENSG00000207768	Mir188	ENSMUSG00000065398	ortholog_one2one
MIR501	ENSG00000211538	Mir501	ENSMUSG00000076251	ortholog_one2one
MIR502	ENSG00000272080	Mir500	ENSMUSG00000070108	ortholog_one2one
MIR223	ENSG00000284567	Mir223	ENSMUSG00000076066	ortholog_one2one
MIR361	ENSG00000199051	Mir361	ENSMUSG00000065510	ortholog_one2one
RNU6-345P	ENSG00000252810	Gm23579	ENSMUSG00002075853	ortholog_one2one
RNU6-493P	ENSG00000212623	Gm25834	ENSMUSG00000089541	ortholog_one2one
SNORA35B	ENSG00000271907	Gm25107	ENSMUSG00000084421	ortholog_one2one
RN7SKP31	ENSG00000252163	Gm56047	ENSMUSG00002074906	ortholog_one2one
RNU6-3P	ENSG00000207041	Gm23217	ENSMUSG00000119376	ortholog_one2one
RNU1-115P	ENSG00000202199	Gm25280	ENSMUSG00000087894	ortholog_one2one
RN7SKP267	ENSG00000222313	Gm56189	ENSMUSG00002076708	ortholog_one2one
MCHR1	ENSG00000128285	Mchr1	ENSMUSG00000050164	ortholog_one2one
TTLL8	ENSG00000138892	Ttll8	ENSMUSG00000022388	ortholog_one2one
TBX1	ENSG00000184058	Tbx1	ENSMUSG00000009097	ortholog_one2one
PAXBP1	ENSG00000159086	Paxbp1	ENSMUSG00000022974	ortholog_one2one
RNU1-142P	ENSG00000252491	Gm22866	ENSMUSG00000065881	ortholog_one2one
MN1	ENSG00000169184	Mn1	ENSMUSG00000070576	ortholog_one2one
RNU1-57P	ENSG00000207220	Gm25587	ENSMUSG00000064432	ortholog_one2one
RNU6-800P	ENSG00000207202	Gm22279	ENSMUSG00000087825	ortholog_one2one
IGLV4-3	ENSG00000211672	Iglv3	ENSMUSG00000076939	ortholog_one2one
SOX3	ENSG00000134595	Sox3	ENSMUSG00000045179	ortholog_one2one
MIR98	ENSG00000271886	Mir98	ENSMUSG00000065536	ortholog_one2one
MIRLET7F2	ENSG00000208012	Mirlet7f-2	ENSMUSG00000065602	ortholog_one2one
DUSP21	ENSG00000189037	Dusp21	ENSMUSG00000025043	ortholog_one2one
DLGAP1	ENSG00000170579	Dlgap1	ENSMUSG00000003279	ortholog_one2one
GPR101	ENSG00000165370	Gpr101	ENSMUSG00000036357	ortholog_one2one
RNU6-707P	ENSG00000201517	Gm23889	ENSMUSG00000084638	ortholog_one2one
UBQLN2	ENSG00000188021	Ubqln2	ENSMUSG00000050148	ortholog_one2one
IRS4	ENSG00000133124	Irs4	ENSMUSG00000054667	ortholog_one2one
GART	ENSG00000159131	Gart	ENSMUSG00000022962	ortholog_one2one
ESX1	ENSG00000123576	Esx1	ENSMUSG00000023443	ortholog_one2one
MIURF	ENSG00000285025	Gm55359	ENSMUSG00000115798	ortholog_one2one
RNU6-496P	ENSG00000251954	Gm25792	ENSMUSG00000065223	ortholog_one2one
SRPX2	ENSG00000102359	Srpx2	ENSMUSG00000031253	ortholog_one2one
EPG5	ENSG00000152223	Epg5	ENSMUSG00000039840	ortholog_one2one
MIR505	ENSG00000207633	Mir505	ENSMUSG00000070081	ortholog_one2one
MIR652	ENSG00000208013	Mir652	ENSMUSG00000076011	ortholog_one2one
SOWAHD	ENSG00000187808	Sowahd	ENSMUSG00000044400	ortholog_one2one
RNF113A	ENSG00000125352	Rnf113a2	ENSMUSG00000098134	ortholog_one2one
GSPT2	ENSG00000189369	Gspt2	ENSMUSG00000071723	ortholog_one2one
RNU6-245P	ENSG00000206747	Gm23316	ENSMUSG00000088622	ortholog_one2one
MAGEB18	ENSG00000176774	Mageb18	ENSMUSG00000067649	ortholog_one2one
